date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:54	1837/1837	---M--	200	added ('OK')	text/plain	etag:%22a7efa-72d-432b0933%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/recording.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/recording.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:55	4342/4342	---M--	200	added ('OK')	text/plain	etag:%22aaa68-10f6-432ee023%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/cache.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/cache.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:56	2103/2103	---M--	200	added ('OK')	text/plain	etag:%22b2ab7-837-43381b9a%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/harms.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/harms.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:57	13037/13037	---M--	200	added ('OK')	text/plain	etag:%22ab0ca-32ed-432f5afc%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/boxes.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/boxes.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:57	1002/1002	---M--	200	added ('OK')	text/plain	etag:%22b4044-3ea-433989b4%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/class-harms.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/class-harms.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:35:58	4155/4155	---M--	200	added ('OK')	text/plain	etag:%22df1be-103b-4346c2dd%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/spectral-class.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/spectral-class.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:00	7489/7489	---M--	200	added ('OK')	text/plain	etag:%22e2344-1d41-434a90e3%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/gui.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/gui.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:01	4380/4380	---M--	200	added ('OK')	text/plain	etag:%22ff786-111c-42c926c5%22	www-camil.music.uiuc.edu:16080/classes/404B/CLM/clm-3/fullmix.ins	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/CLM/clm-3/fullmix.ins	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:02	18893/18893	---M--	200	added ('OK')	text/html	etag:%22ff7ff-49cd-4353c95b%22	www-camil.music.uiuc.edu:16080/classes/404B/clm/simp.html	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/clm/simp.html	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:04	9356/9356	---M--	200	added ('OK')	text/plain	etag:%22113383-248c-435cf4b5%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/expandn.ins	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/expandn.ins	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:04	3041/3041	---M--	200	added ('OK')	text/plain	etag:%221138f0-be1-435d16e0%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/vkey-examples.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/vkey-examples.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:05	1720/1720	---M--	200	added ('OK')	text/plain	etag:%22131b7a-6b8-436fa265%22	www-camil.music.uiuc.edu:16080/classes/404B/sfp/fullmix/fullmix-examples.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/sfp/fullmix/fullmix-examples.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:05	16014/16014	---M--	200	added ('OK')	text/plain	etag:%22113381-3e8e-435cf4ae%22	www-camil.music.uiuc.edu:16080/classes/404B/lisp/vkey.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/lisp/vkey.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:07	1443/1443	---M--	200	added ('OK')	text/html	etag:%22a058b-5a3-432198a2%22	www-camil.music.uiuc.edu:16080/classes/404B/fomus/getfomus.html	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/fomus/getfomus.html	(from www-camil.music.uiuc.edu:16080/classes/404B/fomus/fomus.html)
14:36:08	14993/14993	---M--	200	added ('OK')	text/html	etag:%22131a67-3a91-40758bfa%22	www-camil.music.uiuc.edu:16080/classes/404B/CLM/grani/grani.html	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/CLM/grani/grani.html	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:10	2666/2666	---M--	200	added ('OK')	text/html	etag:%2296f63-a6a-4315f329%22	www-camil.music.uiuc.edu:16080/classes/404B/fomus/primes.html	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/fomus/primes.html	(from www-camil.music.uiuc.edu:16080/classes/404B/fomus/fomus.html)
14:36:11	27267/27267	---M--	200	added ('OK')	text/html	etag:%22166568-6a83-4390841b%22	www-camil.music.uiuc.edu:16080/classes/404B/CLM/Filtering/filtering.html	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/CLM/Filtering/filtering.html	(from www-camil.music.uiuc.edu:16080/classes/404B/)
14:36:13	12471/12471	---M--	200	added ('OK')	text/plain	etag:%229a38f-30b7-4318eb7a%22	www-camil.music.uiuc.edu:16080/classes/404B/fomus/examples.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/fomus/examples.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/fomus/fomus.html)
14:36:13	5750/5750	---M--	200	added ('OK')	text/plain	etag:%22a055e-1676-432193fa%22	www-camil.music.uiuc.edu:16080/classes/404B/fomus/loops.lisp	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/fomus/loops.lisp	(from www-camil.music.uiuc.edu:16080/classes/404B/fomus/fomus.html)
14:36:16	305/305	---MC-	403	error ('Forbidden')	text/html	date:Thu,%2026%20Jan%202006%2013:29:33%20GMT	www-camil.music.uiuc.edu:16080/classes/404B/clm/clm-3/	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/clm/clm-3/index.html	(from www-camil.music.uiuc.edu:16080/classes/404B/clm/simp.html)
14:36:17	744/744	---M--	200	added ('OK')	text/plain	etag:%22ff7f1-2e8-4353bd78%22	www-camil.music.uiuc.edu:16080/classes/404B/clm/simp.ins	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/clm/simp.ins	(from www-camil.music.uiuc.edu:16080/classes/404B/clm/simp.html)
14:36:19	8720/8720	---M--	200	added ('OK')	text/plain	etag:%22ff78f-2210-42c926c5%22	www-camil.music.uiuc.edu:16080/classes/404B/clm/clm-3/ins	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/clm/clm-3/ins.txt	(from www-camil.music.uiuc.edu:16080/classes/404B/clm/simp.html)
14:36:29	425/425	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202006%2013:29:43%20GMT	www-camil.music.uiuc.edu:16080/classes/404B/src/clm-2/grani.ins	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/src/clm-2/grani.ins	(from www-camil.music.uiuc.edu:16080/classes/404B/CLM/grani/grani.html)
14:36:29	426/426	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202006%2013:29:40%20GMT	www-camil.music.uiuc.edu:16080/classes/404B/CLM/vkey/expandn.ins	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/CLM/vkey/expandn.ins	(from www-camil.music.uiuc.edu:16080/classes/404B/CLM/grani/grani.html)
14:37:11	21712/21712	---M--	200	added ('OK')	image/gif	etag:%22131a6e-54d0-33d40cee%22	www-camil.music.uiuc.edu:16080/classes/404B/CLM/grani/timegrains.gif	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/CLM/grani/timegrains.gif	(from www-camil.music.uiuc.edu:16080/classes/404B/CLM/grani/grani.html)
14:37:41	264117/264117	---M--	200	added ('OK')	text/html	etag:%22ff751-407b5-42c926c4%22	www-camil.music.uiuc.edu:16080/classes/404B/clm/clm-3/clm.html	/home/tito/websites/http://www-camil.music.uiuc.edu:16080/classes/404B/www-camil.music.uiuc.edu_16080/classes/404B/clm/clm-3/clm.html	(from www-camil.music.uiuc.edu:16080/classes/404B/clm/simp.html)
